# "fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","quality",tipo
8.300000000000000711e+00,6.550000000000000266e-01,1.199999999999999956e-01,2.299999999999999822e+00,8.300000000000000433e-02,1.500000000000000000e+01,1.130000000000000000e+02,9.966000000000000414e-01,3.169999999999999929e+00,6.600000000000000311e-01,9.800000000000000711e+00,5.000000000000000000e+00,1.000000000000000000e+00
6.900000000000000355e+00,6.049999999999999822e-01,1.199999999999999956e-01,1.069999999999999929e+01,7.299999999999999545e-02,4.000000000000000000e+01,8.300000000000000000e+01,9.992999999999999661e-01,3.450000000000000178e+00,5.200000000000000178e-01,9.400000000000000355e+00,6.000000000000000000e+00,1.000000000000000000e+00
5.200000000000000178e+00,3.200000000000000067e-01,2.500000000000000000e-01,1.800000000000000044e+00,1.029999999999999943e-01,1.300000000000000000e+01,5.000000000000000000e+01,9.957000000000000295e-01,3.379999999999999893e+00,5.500000000000000444e-01,9.199999999999999289e+00,5.000000000000000000e+00,1.000000000000000000e+00
7.799999999999999822e+00,6.450000000000000178e-01,0.000000000000000000e+00,5.500000000000000000e+00,8.599999999999999312e-02,5.000000000000000000e+00,1.800000000000000000e+01,9.986000000000000432e-01,3.399999999999999911e+00,5.500000000000000444e-01,9.599999999999999645e+00,6.000000000000000000e+00,1.000000000000000000e+00
7.799999999999999822e+00,5.999999999999999778e-01,1.400000000000000133e-01,2.399999999999999911e+00,8.599999999999999312e-02,3.000000000000000000e+00,1.500000000000000000e+01,9.975000000000000533e-01,3.419999999999999929e+00,5.999999999999999778e-01,1.080000000000000071e+01,6.000000000000000000e+00,1.000000000000000000e+00
8.099999999999999645e+00,3.800000000000000044e-01,2.800000000000000266e-01,2.100000000000000089e+00,6.600000000000000311e-02,1.300000000000000000e+01,3.000000000000000000e+01,9.968000000000000194e-01,3.229999999999999982e+00,7.299999999999999822e-01,9.699999999999999289e+00,7.000000000000000000e+00,1.000000000000000000e+00
5.700000000000000178e+00,1.129999999999999893e+00,8.999999999999999667e-02,1.500000000000000000e+00,1.719999999999999862e-01,7.000000000000000000e+00,1.900000000000000000e+01,9.939999999999999947e-01,3.500000000000000000e+00,4.799999999999999822e-01,9.800000000000000711e+00,4.000000000000000000e+00,1.000000000000000000e+00
7.299999999999999822e+00,4.500000000000000111e-01,3.599999999999999867e-01,5.900000000000000355e+00,7.399999999999999634e-02,1.200000000000000000e+01,8.700000000000000000e+01,9.978000000000000203e-01,3.330000000000000071e+00,8.299999999999999600e-01,1.050000000000000000e+01,5.000000000000000000e+00,1.000000000000000000e+00
7.299999999999999822e+00,4.500000000000000111e-01,3.599999999999999867e-01,5.900000000000000355e+00,7.399999999999999634e-02,1.200000000000000000e+01,8.700000000000000000e+01,9.978000000000000203e-01,3.330000000000000071e+00,8.299999999999999600e-01,1.050000000000000000e+01,5.000000000000000000e+00,1.000000000000000000e+00
8.800000000000000711e+00,6.099999999999999867e-01,2.999999999999999889e-01,2.799999999999999822e+00,8.799999999999999489e-02,1.700000000000000000e+01,4.600000000000000000e+01,9.976000000000000423e-01,3.259999999999999787e+00,5.100000000000000089e-01,9.300000000000000711e+00,4.000000000000000000e+00,1.000000000000000000e+00
7.500000000000000000e+00,4.899999999999999911e-01,2.000000000000000111e-01,2.600000000000000089e+00,3.320000000000000173e-01,8.000000000000000000e+00,1.400000000000000000e+01,9.968000000000000194e-01,3.209999999999999964e+00,9.000000000000000222e-01,1.050000000000000000e+01,6.000000000000000000e+00,1.000000000000000000e+00
8.099999999999999645e+00,6.600000000000000311e-01,2.200000000000000011e-01,2.200000000000000178e+00,6.900000000000000577e-02,9.000000000000000000e+00,2.300000000000000000e+01,9.968000000000000194e-01,3.299999999999999822e+00,1.199999999999999956e+00,1.030000000000000071e+01,5.000000000000000000e+00,1.000000000000000000e+00
6.799999999999999822e+00,6.700000000000000400e-01,2.000000000000000042e-02,1.800000000000000044e+00,5.000000000000000278e-02,5.000000000000000000e+00,1.100000000000000000e+01,9.961999999999999744e-01,3.479999999999999982e+00,5.200000000000000178e-01,9.500000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00
4.599999999999999645e+00,5.200000000000000178e-01,1.499999999999999944e-01,2.100000000000000089e+00,5.399999999999999939e-02,8.000000000000000000e+00,6.500000000000000000e+01,9.933999999999999497e-01,3.899999999999999911e+00,5.600000000000000533e-01,1.309999999999999964e+01,4.000000000000000000e+00,1.000000000000000000e+00
7.700000000000000178e+00,9.350000000000000533e-01,4.299999999999999933e-01,2.200000000000000178e+00,1.140000000000000041e-01,2.200000000000000000e+01,1.140000000000000000e+02,9.969999999999999973e-01,3.250000000000000000e+00,7.299999999999999822e-01,9.199999999999999289e+00,5.000000000000000000e+00,1.000000000000000000e+00
8.699999999999999289e+00,2.899999999999999800e-01,5.200000000000000178e-01,1.600000000000000089e+00,1.130000000000000032e-01,1.200000000000000000e+01,3.700000000000000000e+01,9.969000000000000083e-01,3.250000000000000000e+00,5.799999999999999600e-01,9.500000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00
6.400000000000000355e+00,4.000000000000000222e-01,2.300000000000000100e-01,1.600000000000000089e+00,6.600000000000000311e-02,5.000000000000000000e+00,1.200000000000000000e+01,9.958000000000000185e-01,3.339999999999999858e+00,5.600000000000000533e-01,9.199999999999999289e+00,5.000000000000000000e+00,1.000000000000000000e+00
5.599999999999999645e+00,3.099999999999999978e-01,3.699999999999999956e-01,1.399999999999999911e+00,7.399999999999999634e-02,1.200000000000000000e+01,9.600000000000000000e+01,9.953999999999999515e-01,3.319999999999999840e+00,5.799999999999999600e-01,9.199999999999999289e+00,5.000000000000000000e+00,1.000000000000000000e+00
8.800000000000000711e+00,6.600000000000000311e-01,2.600000000000000089e-01,1.699999999999999956e+00,7.399999999999999634e-02,4.000000000000000000e+00,2.300000000000000000e+01,9.970999999999999863e-01,3.149999999999999911e+00,7.399999999999999911e-01,9.199999999999999289e+00,5.000000000000000000e+00,1.000000000000000000e+00
6.599999999999999645e+00,5.200000000000000178e-01,4.000000000000000083e-02,2.200000000000000178e+00,6.900000000000000577e-02,8.000000000000000000e+00,1.500000000000000000e+01,9.956000000000000405e-01,3.399999999999999911e+00,6.300000000000000044e-01,9.400000000000000355e+00,6.000000000000000000e+00,1.000000000000000000e+00
6.599999999999999645e+00,5.000000000000000000e-01,4.000000000000000083e-02,2.100000000000000089e+00,6.800000000000000488e-02,6.000000000000000000e+00,1.400000000000000000e+01,9.955000000000000515e-01,3.390000000000000124e+00,6.400000000000000133e-01,9.400000000000000355e+00,6.000000000000000000e+00,1.000000000000000000e+00
8.599999999999999645e+00,3.800000000000000044e-01,3.599999999999999867e-01,3.000000000000000000e+00,8.100000000000000255e-02,3.000000000000000000e+01,1.190000000000000000e+02,9.969999999999999973e-01,3.200000000000000178e+00,5.600000000000000533e-01,9.400000000000000355e+00,5.000000000000000000e+00,1.000000000000000000e+00
7.599999999999999645e+00,5.100000000000000089e-01,1.499999999999999944e-01,2.799999999999999822e+00,1.100000000000000006e-01,3.300000000000000000e+01,7.300000000000000000e+01,9.955000000000000515e-01,3.169999999999999929e+00,6.300000000000000044e-01,1.019999999999999929e+01,6.000000000000000000e+00,1.000000000000000000e+00
7.700000000000000178e+00,6.199999999999999956e-01,4.000000000000000083e-02,3.799999999999999822e+00,8.400000000000000522e-02,2.500000000000000000e+01,4.500000000000000000e+01,9.978000000000000203e-01,3.339999999999999858e+00,5.300000000000000266e-01,9.500000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00
1.019999999999999929e+01,4.199999999999999845e-01,5.699999999999999512e-01,3.399999999999999911e+00,7.000000000000000666e-02,4.000000000000000000e+00,1.000000000000000000e+01,9.970999999999999863e-01,3.040000000000000036e+00,6.300000000000000044e-01,9.599999999999999645e+00,5.000000000000000000e+00,1.000000000000000000e+00
7.500000000000000000e+00,6.300000000000000044e-01,1.199999999999999956e-01,5.099999999999999645e+00,1.110000000000000014e-01,5.000000000000000000e+01,1.100000000000000000e+02,9.982999999999999652e-01,3.259999999999999787e+00,7.700000000000000178e-01,9.400000000000000355e+00,5.000000000000000000e+00,1.000000000000000000e+00
7.799999999999999822e+00,5.899999999999999689e-01,1.799999999999999933e-01,2.299999999999999822e+00,7.599999999999999811e-02,1.700000000000000000e+01,5.400000000000000000e+01,9.975000000000000533e-01,3.430000000000000160e+00,5.899999999999999689e-01,1.000000000000000000e+01,5.000000000000000000e+00,1.000000000000000000e+00
7.299999999999999822e+00,3.900000000000000133e-01,3.099999999999999978e-01,2.399999999999999911e+00,7.399999999999999634e-02,9.000000000000000000e+00,4.600000000000000000e+01,9.961999999999999744e-01,3.410000000000000142e+00,5.400000000000000355e-01,9.400000000000000355e+00,6.000000000000000000e+00,1.000000000000000000e+00
8.800000000000000711e+00,4.000000000000000222e-01,4.000000000000000222e-01,2.200000000000000178e+00,7.900000000000000078e-02,1.900000000000000000e+01,5.200000000000000000e+01,9.979999999999999982e-01,3.439999999999999947e+00,6.400000000000000133e-01,9.199999999999999289e+00,5.000000000000000000e+00,1.000000000000000000e+00
7.700000000000000178e+00,6.899999999999999467e-01,4.899999999999999911e-01,1.800000000000000044e+00,1.150000000000000050e-01,2.000000000000000000e+01,1.120000000000000000e+02,9.968000000000000194e-01,3.209999999999999964e+00,7.099999999999999645e-01,9.300000000000000711e+00,5.000000000000000000e+00,1.000000000000000000e+00
7.500000000000000000e+00,5.200000000000000178e-01,1.600000000000000033e-01,1.899999999999999911e+00,8.500000000000000611e-02,1.200000000000000000e+01,3.500000000000000000e+01,9.968000000000000194e-01,3.379999999999999893e+00,6.199999999999999956e-01,9.500000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+00,7.349999999999999867e-01,5.000000000000000278e-02,2.000000000000000000e+00,8.100000000000000255e-02,1.300000000000000000e+01,5.400000000000000000e+01,9.966000000000000414e-01,3.390000000000000124e+00,5.699999999999999512e-01,9.800000000000000711e+00,5.000000000000000000e+00,1.000000000000000000e+00
7.200000000000000178e+00,7.249999999999999778e-01,5.000000000000000278e-02,4.650000000000000355e+00,8.599999999999999312e-02,4.000000000000000000e+00,1.100000000000000000e+01,9.961999999999999744e-01,3.410000000000000142e+00,3.900000000000000133e-01,1.090000000000000036e+01,5.000000000000000000e+00,1.000000000000000000e+00
7.200000000000000178e+00,7.249999999999999778e-01,5.000000000000000278e-02,4.650000000000000355e+00,8.599999999999999312e-02,4.000000000000000000e+00,1.100000000000000000e+01,9.961999999999999744e-01,3.410000000000000142e+00,3.900000000000000133e-01,1.090000000000000036e+01,5.000000000000000000e+00,1.000000000000000000e+00
7.500000000000000000e+00,5.200000000000000178e-01,1.100000000000000006e-01,1.500000000000000000e+00,7.900000000000000078e-02,1.100000000000000000e+01,3.900000000000000000e+01,9.968000000000000194e-01,3.419999999999999929e+00,5.799999999999999600e-01,9.599999999999999645e+00,5.000000000000000000e+00,1.000000000000000000e+00
6.599999999999999645e+00,7.049999999999999600e-01,7.000000000000000666e-02,1.600000000000000089e+00,7.599999999999999811e-02,6.000000000000000000e+00,1.500000000000000000e+01,9.961999999999999744e-01,3.439999999999999947e+00,5.799999999999999600e-01,1.069999999999999929e+01,5.000000000000000000e+00,1.000000000000000000e+00
9.300000000000000711e+00,3.200000000000000067e-01,5.699999999999999512e-01,2.000000000000000000e+00,7.399999999999999634e-02,2.700000000000000000e+01,6.500000000000000000e+01,9.969000000000000083e-01,3.279999999999999805e+00,7.900000000000000355e-01,1.069999999999999929e+01,5.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+00,7.049999999999999600e-01,5.000000000000000278e-02,1.899999999999999911e+00,7.399999999999999634e-02,8.000000000000000000e+00,1.900000000000000000e+01,9.961999999999999744e-01,3.339999999999999858e+00,9.499999999999999556e-01,1.050000000000000000e+01,6.000000000000000000e+00,1.000000000000000000e+00
7.700000000000000178e+00,6.300000000000000044e-01,8.000000000000000167e-02,1.899999999999999911e+00,7.599999999999999811e-02,1.500000000000000000e+01,2.700000000000000000e+01,9.967000000000000304e-01,3.319999999999999840e+00,5.400000000000000355e-01,9.500000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00
7.700000000000000178e+00,6.700000000000000400e-01,2.300000000000000100e-01,2.100000000000000089e+00,8.799999999999999489e-02,1.700000000000000000e+01,9.600000000000000000e+01,9.961999999999999744e-01,3.319999999999999840e+00,4.799999999999999822e-01,9.500000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00
7.700000000000000178e+00,6.899999999999999467e-01,2.200000000000000011e-01,1.899999999999999911e+00,8.400000000000000522e-02,1.800000000000000000e+01,9.400000000000000000e+01,9.960999999999999854e-01,3.310000000000000053e+00,4.799999999999999822e-01,9.500000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00
8.300000000000000711e+00,6.750000000000000444e-01,2.600000000000000089e-01,2.100000000000000089e+00,8.400000000000000522e-02,1.100000000000000000e+01,4.300000000000000000e+01,9.976000000000000423e-01,3.310000000000000053e+00,5.300000000000000266e-01,9.199999999999999289e+00,4.000000000000000000e+00,1.000000000000000000e+00
9.699999999999999289e+00,3.200000000000000067e-01,5.400000000000000355e-01,2.500000000000000000e+00,9.400000000000000022e-02,2.800000000000000000e+01,8.300000000000000000e+01,9.983999999999999542e-01,3.279999999999999805e+00,8.199999999999999512e-01,9.599999999999999645e+00,5.000000000000000000e+00,1.000000000000000000e+00
8.800000000000000711e+00,4.099999999999999756e-01,6.400000000000000133e-01,2.200000000000000178e+00,9.299999999999999933e-02,9.000000000000000000e+00,4.200000000000000000e+01,9.986000000000000432e-01,3.540000000000000036e+00,6.600000000000000311e-01,1.050000000000000000e+01,5.000000000000000000e+00,1.000000000000000000e+00
8.800000000000000711e+00,4.099999999999999756e-01,6.400000000000000133e-01,2.200000000000000178e+00,9.299999999999999933e-02,9.000000000000000000e+00,4.200000000000000000e+01,9.986000000000000432e-01,3.540000000000000036e+00,6.600000000000000311e-01,1.050000000000000000e+01,5.000000000000000000e+00,1.000000000000000000e+00
6.799999999999999822e+00,7.850000000000000311e-01,0.000000000000000000e+00,2.399999999999999911e+00,1.039999999999999952e-01,1.400000000000000000e+01,3.000000000000000000e+01,9.966000000000000414e-01,3.520000000000000018e+00,5.500000000000000444e-01,1.069999999999999929e+01,6.000000000000000000e+00,1.000000000000000000e+00
6.700000000000000178e+00,7.500000000000000000e-01,1.199999999999999956e-01,2.000000000000000000e+00,8.599999999999999312e-02,1.200000000000000000e+01,8.000000000000000000e+01,9.958000000000000185e-01,3.379999999999999893e+00,5.200000000000000178e-01,1.009999999999999964e+01,5.000000000000000000e+00,1.000000000000000000e+00
8.300000000000000711e+00,6.250000000000000000e-01,2.000000000000000111e-01,1.500000000000000000e+00,8.000000000000000167e-02,2.700000000000000000e+01,1.190000000000000000e+02,9.971999999999999753e-01,3.160000000000000142e+00,1.120000000000000107e+00,9.099999999999999645e+00,4.000000000000000000e+00,1.000000000000000000e+00
6.200000000000000178e+00,4.500000000000000111e-01,2.000000000000000111e-01,1.600000000000000089e+00,6.900000000000000577e-02,3.000000000000000000e+00,1.500000000000000000e+01,9.958000000000000185e-01,3.410000000000000142e+00,5.600000000000000533e-01,9.199999999999999289e+00,5.000000000000000000e+00,1.000000000000000000e+00
7.799999999999999822e+00,4.299999999999999933e-01,6.999999999999999556e-01,1.899999999999999911e+00,4.640000000000000235e-01,2.200000000000000000e+01,6.700000000000000000e+01,9.973999999999999533e-01,3.129999999999999893e+00,1.280000000000000027e+00,9.400000000000000355e+00,5.000000000000000000e+00,1.000000000000000000e+00
7.400000000000000355e+00,5.000000000000000000e-01,4.699999999999999734e-01,2.000000000000000000e+00,8.599999999999999312e-02,2.100000000000000000e+01,7.300000000000000000e+01,9.969999999999999973e-01,3.359999999999999876e+00,5.699999999999999512e-01,9.099999999999999645e+00,5.000000000000000000e+00,1.000000000000000000e+00
7.299999999999999822e+00,6.700000000000000400e-01,2.600000000000000089e-01,1.800000000000000044e+00,4.010000000000000231e-01,1.600000000000000000e+01,5.100000000000000000e+01,9.969000000000000083e-01,3.160000000000000142e+00,1.139999999999999902e+00,9.400000000000000355e+00,5.000000000000000000e+00,1.000000000000000000e+00
6.299999999999999822e+00,2.999999999999999889e-01,4.799999999999999822e-01,1.800000000000000044e+00,6.900000000000000577e-02,1.800000000000000000e+01,6.100000000000000000e+01,9.959000000000000075e-01,3.439999999999999947e+00,7.800000000000000266e-01,1.030000000000000071e+01,6.000000000000000000e+00,1.000000000000000000e+00
6.900000000000000355e+00,5.500000000000000444e-01,1.499999999999999944e-01,2.200000000000000178e+00,7.599999999999999811e-02,1.900000000000000000e+01,4.000000000000000000e+01,9.960999999999999854e-01,3.410000000000000142e+00,5.899999999999999689e-01,1.009999999999999964e+01,5.000000000000000000e+00,1.000000000000000000e+00
8.599999999999999645e+00,4.899999999999999911e-01,2.800000000000000266e-01,1.899999999999999911e+00,1.100000000000000006e-01,2.000000000000000000e+01,1.360000000000000000e+02,9.971999999999999753e-01,2.930000000000000160e+00,1.949999999999999956e+00,9.900000000000000355e+00,6.000000000000000000e+00,1.000000000000000000e+00
7.700000000000000178e+00,4.899999999999999911e-01,2.600000000000000089e-01,1.899999999999999911e+00,6.199999999999999956e-02,9.000000000000000000e+00,3.100000000000000000e+01,9.966000000000000414e-01,3.390000000000000124e+00,6.400000000000000133e-01,9.599999999999999645e+00,5.000000000000000000e+00,1.000000000000000000e+00
